date,allChinook,sum,adultChinook,sum,jackChinook,sum,allSteelhead,sum,clippedSteelhead,sum,unclippedSteelhead,sum,allCoho,sum,adultCoho,sum,jackCoho,sum,sockeye,sum,chum,sum,pink,sum
1/1/2015,0,0,0,0,0,0,15,15,6,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2015,0,0,0,0,0,0,24,39,13,19,11,20,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2015,0,0,0,0,0,0,23,62,13,32,10,30,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2015,0,0,0,0,0,0,17,79,10,42,7,37,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2015,0,0,0,0,0,0,35,114,15,57,20,57,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2015,0,0,0,0,0,0,54,168,30,87,24,81,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,0,0,0,0,0,0,26,194,13,100,13,94,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,0,0,0,0,0,0,22,216,14,114,8,102,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,0,0,0,0,0,0,13,229,7,121,6,108,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2015,0,0,0,0,0,0,9,238,2,123,7,115,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2015,0,0,0,0,0,0,19,257,8,131,11,126,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2015,0,0,0,0,0,0,12,269,8,139,4,130,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2015,0,0,0,0,0,0,20,289,10,149,10,140,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2015,0,0,0,0,0,0,25,314,16,165,9,149,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2015,0,0,0,0,0,0,16,330,10,175,6,155,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2015,0,0,0,0,0,0,13,343,4,179,9,164,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2015,0,0,0,0,0,0,29,372,17,196,12,176,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2015,0,0,0,0,0,0,41,413,23,219,18,194,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2015,0,0,0,0,0,0,36,449,24,243,12,206,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2015,0,0,0,0,0,0,38,487,16,259,22,228,0,0,0,0,0,0,0,0,0,0,0,0
